Out1      Out2     Out3     Out4      Out5     Out6     Class 
0.9922  0.8929  1.0000  0.7400  1.0000  1.0000  1.0000    
0.7765  0.7375  0.5693  0.5100  0.9599  1.0000  1.0000    
0.0039  0.6340  0.3875  0.2600  0.1314  0.0000  1.0000    
0.7843  0.6979  0.5265  0.4900  0.3744  1.0000  1.0000    
0.7294  0.0000  0.3335  0.9400  0.3156  1.0000  1.0000    
0.9255  0.3494  1.0000  0.3300  0.8779  1.0000  1.0000    
0.7647  0.6404  0.5982  0.6700  0.8803  1.0000  1.0000    
0.8667  0.3824  1.0000  0.5200  0.9979  1.0000  1.0000    
0.8000  0.6521  0.4048  0.4700  0.5792  1.0000  1.0000    
0.0039  0.6816  0.2485  0.4700  0.1443  1.0000  1.0000    
0.8745  0.6282  0.7260  0.7000  0.9249  1.0000  1.0000    
0.6784  0.7437  0.8193  0.2300  0.6534  0.5000  1.0000    
0.9529  0.6676  1.0000  0.9500  1.0000  1.0000  1.0000    
1.0000  0.6821  1.0000  1.0000  1.0000  1.0000  1.0000    
0.9961  0.8158  0.7150  1.0000  1.0000  1.0000  1.0000    
0.9412  0.6574  0.3900  0.7800  1.0000  1.0000  1.0000    
0.7490  0.0000  0.2742  0.1600  0.1776  1.0000  1.0000    
0.9961  0.5994  0.7290  1.0000  0.9999  1.0000  1.0000    
0.9922  0.8228  0.3375  0.9900  1.0000  1.0000  1.0000    
0.7020  0.0001  0.3880  0.3100  0.2030  0.5000  1.0000    
1.0000  0.7151  0.5623  0.4700  0.8903  1.0000  1.0000    
0.7529  0.7241  0.3610  0.6400  0.6553  1.0000  1.0000    
0.8941  0.7306  0.3865  0.9100  0.9980  1.0000  1.0000    
0.7608  0.6376  0.6607  0.7900  0.9487  1.0000  1.0000    
0.9216  0.5818  0.6540  0.4400  0.2020  1.0000  1.0000    
0.6549  0.0001  0.2193  0.3200  0.0624  0.5000  1.0000    
0.7882  0.7202  0.4153  0.6800  0.3629  1.0000  1.0000    
0.7961  0.9471  0.3680  0.7700  0.6488  1.0000  1.0000    
0.6510  0.7906  0.3167  0.6000  0.5908  1.0000  1.0000    
0.9176  0.5416  0.6853  0.2300  1.0000  1.0000  1.0000    
0.6627  0.0000  0.3297  0.5100  0.7232  1.0000  1.0000    
0.9137  0.7555  0.6362  1.0000  1.0000  1.0000  1.0000    
0.7647  0.7973  0.5475  0.5100  0.7083  1.0000  1.0000    
0.0039  0.7487  0.2338  0.1400  0.5049  1.0000  1.0000    
0.7765  0.6618  0.4115  0.5300  0.1908  1.0000  1.0000    
0.8784  0.5960  0.7198  0.3100  0.7843  0.5000  1.0000    
0.7529  0.7641  0.6960  0.4400  0.9742  1.0000  1.0000    
0.8510  0.4270  1.0000  0.8700  0.9976  1.0000  1.0000    
0.0039  0.7490  0.3885  0.3200  0.1376  1.0000  1.0000    
0.9882  0.7910  0.7110  0.7800  0.6713  1.0000  1.0000    
0.6941  0.4036  0.9960  0.3100  0.7171  0.2500  1.0000    
0.9647  0.6239  1.0000  1.0000  1.0000  1.0000  1.0000    
1.0000  0.8518  0.7925  1.0000  1.0000  1.0000  1.0000    
0.9608  0.6742  0.6895  1.0000  1.0000  1.0000  1.0000    
0.8118  0.0000  0.3207  0.1200  0.0842  1.0000  1.0000    
1.0000  0.6908  0.4065  0.9400  1.0000  1.0000  1.0000    
0.8157  0.0001  0.2930  0.7500  0.3081  1.0000  1.0000    
1.0000  0.6335  0.6677  1.0000  0.9998  1.0000  1.0000    
1.0000  0.7466  0.4080  0.9900  0.9999  1.0000  1.0000    
0.6706  0.0001  0.2845  0.1900  0.2006  0.0000  1.0000    
0.0039  0.6839  0.3440  0.2500  0.0923  0.0000  1.0000    
0.7412  0.6822  0.4845  0.4500  0.6952  1.0000  1.0000    
1.0000  0.7615  0.5935  0.5000  0.8544  1.0000  1.0000    
0.7882  0.7022  0.6390  0.2800  0.6179  1.0000  1.0000    
0.0039  0.6299  0.4093  0.2300  0.1094  0.2500  1.0000    
0.9255  0.6468  0.5895  0.8400  0.9997  1.0000  1.0000    
0.7725  0.5402  0.7345  0.4500  0.9107  1.0000  1.0000    
0.9569  0.7583  0.6803  0.3300  0.3278  1.0000  1.0000    
0.6510  0.0001  0.2632  0.5000  0.0981  0.5000  1.0000    
0.7490  0.6584  0.4083  0.4500  0.3852  1.0000  1.0000    
0.0039  0.6687  0.2690  0.4400  0.1507  0.7500  1.0000    
0.7961  0.6514  0.3897  0.8600  0.9000  1.0000  1.0000    
0.9647  0.5216  0.9828  0.8600  1.0000  1.0000  1.0000    
0.6275  0.0000  0.3028  0.2300  0.7812  0.7500  1.0000    
0.8980  0.7436  0.3535  1.0000  1.0000  1.0000  1.0000    
0.6902  0.0000  0.2833  0.2300  0.2852  1.0000  1.0000    
1.0000  0.6912  0.5643  0.9400  1.0000  1.0000  1.0000    
1.0000  0.7785  0.3997  0.9400  1.0000  1.0000  1.0000    
0.0039  0.6742  0.2710  0.3300  0.1899  1.0000  1.0000    
0.6471  0.6218  0.4363  0.2800  0.3603  1.0000  1.0000    
0.8941  0.7349  0.5275  0.6400  0.8263  1.0000  1.0000    
0.7882  0.6808  0.5877  0.6100  0.8788  1.0000  1.0000    
0.0039  0.6748  0.4093  0.1200  0.0467  1.0000  1.0000    
0.8745  0.6178  0.4648  0.8500  0.9908  1.0000  1.0000    
0.7608  0.7133  0.9457  0.9000  0.9945  1.0000  1.0000    
0.8353  0.6796  0.5335  0.3700  0.9581  1.0000  1.0000    
0.7216  0.0000  0.2963  0.0700  0.1368  1.0000  1.0000    
0.7294  0.6737  0.3590  0.9900  0.9861  1.0000  1.0000    
0.7255  0.6895  0.3307  0.4100  0.7195  1.0000  1.0000    
0.8745  0.6264  0.5188  1.0000  0.9989  1.0000  1.0000    
0.8902  0.8144  0.5853  1.0000  1.0000  1.0000  1.0000    
0.9451  0.3626  0.6340  0.6700  1.0000  1.0000  1.0000    
0.0039  0.6681  0.4085  0.2700  0.4923  1.0000  1.0000    
0.7412  0.4151  0.3648  0.7300  0.2422  1.0000  1.0000    
0.8471  0.0001  0.3987  0.6500  0.4872  1.0000  1.0000    
0.8471  0.4570  0.8902  0.4900  0.7512  0.7500  1.0000    
0.7608  0.8270  0.4550  0.8900  0.9886  1.0000  1.0000    
0.8039  0.6109  0.5898  0.7600  0.9737  1.0000  1.0000    
0.0039  0.7457  0.2913  0.2200  0.3398  1.0000  1.0000    
0.0039  0.7656  0.2465  0.1700  0.1247  1.0000  1.0000    
0.8824  0.7808  0.7117  0.5600  0.9905  1.0000  1.0000    
0.7216  0.6881  0.7140  0.5300  0.9539  1.0000  1.0000    
1.0000  0.7172  0.8093  1.0000  1.0000  1.0000  1.0000    
1.0000  1.0000  0.9785  1.0000  1.0000  1.0000  1.0000    
0.0039  0.7381  0.4350  0.3600  0.9241  0.0000  1.0000    
1.0000  1.0000  0.7632  0.7200  1.0000  1.0000  1.0000    
0.8941  0.6776  0.4813  1.0000  1.0000  1.0000  1.0000    
0.6431  0.0000  0.2768  0.1000  0.1786  1.0000  1.0000    
1.0000  1.0000  0.4535  1.0000  1.0000  1.0000  1.0000    
0.9843  0.8510  0.5130  0.9600  1.0000  1.0000  1.0000    
0.0039  0.6879  0.4273  0.0000  0.1976  0.0000  1.0000    
0.0039  0.6312  0.3952  0.2500  0.2634  1.0000  1.0000    
0.9098  0.6986  0.5340  0.5400  0.8976  1.0000  1.0000    
0.8392  0.7089  0.5753  0.3600  0.9054  1.0000  1.0000    
0.0039  0.6717  0.3175  0.1200  0.0465  1.0000  1.0000    
0.9176  0.6425  0.8882  0.8600  0.9919  1.0000  1.0000    
0.7647  0.6579  0.9600  0.9300  0.9952  1.0000  1.0000    
0.7843  0.6314  0.5340  0.5000  0.9754  0.7500  1.0000    
0.7098  0.0000  0.2895  0.0900  0.3083  0.7500  1.0000    
0.7608  0.7095  0.3440  1.0000  0.7488  1.0000  1.0000    
0.0039  0.8826  0.2605  0.2400  0.4548  0.0000  1.0000    
0.8902  0.6622  0.8490  1.0000  0.9998  1.0000  1.0000    
0.9961  0.6330  0.5675  1.0000  1.0000  1.0000  1.0000    
0.0039  0.7502  0.2642  0.2500  0.3806  0.2500  1.0000    
0.7216  0.0000  0.4323  0.7000  0.2264  0.5000  1.0000    
0.8902  0.0001  0.3820  0.6300  0.4780  1.0000  1.0000    
0.8314  0.5244  0.7505  0.1400  0.7156  1.0000  1.0000    
0.7647  0.6498  0.4195  0.8400  0.9956  1.0000  1.0000    
0.8471  0.4829  0.7115  0.2900  0.9767  1.0000  1.0000    
0.0039  0.7162  0.4238  0.2100  0.2943  1.0000  1.0000    
0.8039  0.7979  0.3845  0.3200  0.9335  1.0000  1.0000    
0.8392  0.6744  0.6630  0.4200  0.9396  1.0000  1.0000    
0.9922  0.7072  0.6198  0.9700  1.0000  1.0000  1.0000    
1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000    
1.0000  1.0000  0.7458  0.8100  1.0000  1.0000  1.0000    
1.0000  0.6252  0.9350  0.9700  1.0000  1.0000  1.0000    
0.9216  0.7005  0.4760  0.5500  0.9828  1.0000  1.0000    
0.0039  0.5738  0.3325  0.3000  0.9142  0.7500  1.0000    
0.9451  0.5974  0.4597  0.9400  0.9854  1.0000  1.0000    
0.9020  0.0000  0.2400  0.5600  0.5773  1.0000  1.0000    
1.0000  0.7203  0.4260  0.9800  1.0000  1.0000  1.0000    
0.9608  0.6075  0.3113  0.2700  0.3929  1.0000  1.0000    
0.9686  0.5678  1.0000  0.3400  0.9997  1.0000  1.0000    
0.8588  0.7634  0.5613  0.7600  0.9456  1.0000  1.0000    
0.7020  0.6148  0.3760  0.1400  0.1801  0.7500  1.0000    
1.0000  0.5161  0.4363  0.4700  1.0000  1.0000  1.0000    
0.9922  0.4986  0.5675  0.9500  0.9945  1.0000  1.0000    
0.0039  0.5902  0.2840  0.0000  0.3188  1.0000  1.0000    
0.8275  0.5702  0.4775  0.1700  0.9477  1.0000  1.0000    
0.0039  0.5999  0.2412  0.3000  0.2814  1.0000  1.0000    
0.9373  1.0000  0.7335  1.0000  0.9960  1.0000  1.0000    
1.0000  0.5271  1.0000  0.8600  1.0000  1.0000  1.0000    
0.7647  0.6095  0.2905  0.2600  0.7318  1.0000  1.0000    
1.0000  0.4975  1.0000  0.4700  0.9456  1.0000  1.0000    
0.7294  0.7174  0.2880  0.1500  0.4088  1.0000  1.0000    
0.9529  0.5816  0.3110  1.0000  1.0000  1.0000  1.0000    
0.7098  0.5386  0.3270  0.1300  0.5458  1.0000  1.0000    
0.8941  0.5018  0.4913  0.4800  0.8768  1.0000  1.0000    
1.0000  0.5665  0.4585  1.0000  1.0000  1.0000  1.0000    
0.0039  0.5138  0.3563  0.3900  0.4407  1.0000  1.0000    
0.8235  0.0001  0.0003  0.8000  0.8782  0.5000  1.0000    
1.0000  0.7821  0.4525  0.9200  1.0000  1.0000  1.0000    
0.9961  0.7094  0.5102  0.6800  0.9961  1.0000  1.0000    
0.9373  0.5452  0.4883  0.9300  0.9806  1.0000  1.0000    
0.0039  0.6283  0.2933  0.0000  0.2026  0.0000  1.0000    
0.8353  0.0000  0.2750  0.6200  0.8117  1.0000  1.0000    
0.7569  0.5201  0.4068  0.2400  0.2220  1.0000  1.0000    
1.0000  0.6036  1.0000  0.7200  1.0000  1.0000  1.0000    
0.8980  0.5642  0.3192  0.3000  0.5214  1.0000  1.0000    
0.9725  0.8551  1.0000  0.4400  0.9997  1.0000  1.0000    
0.9412  0.5327  0.5150  0.5800  0.9693  1.0000  1.0000    
0.7686  0.4996  0.4100  0.1700  0.0753  0.7500  1.0000    
0.0039  0.5818  0.3510  0.5700  0.9718  0.5000  1.0000    
0.9922  0.6022  0.4013  0.4600  1.0000  1.0000  1.0000    
0.9804  0.5513  0.4515  0.5000  0.9976  1.0000  1.0000    
0.6980  0.5404  0.3603  0.2300  0.4344  0.7500  1.0000    
0.0039  0.5562  0.2715  0.2700  0.9390  1.0000  1.0000    
0.7725  0.6489  0.4045  0.1600  0.2115  1.0000  1.0000    
0.9922  0.8399  0.4650  0.7600  0.9846  1.0000  1.0000    
0.8902  0.0000  0.8150  0.6700  0.9999  0.2500  1.0000    
0.8510  0.5230  0.8067  0.3000  0.9984  1.0000  1.0000    
0.0039  0.7665  0.4355  0.2600  0.8977  0.0000  1.0000    
0.9216  0.7346  0.6155  0.2300  0.9933  1.0000  1.0000    
0.9333  0.0001  0.3365  0.3500  0.9609  1.0000  1.0000    
0.8118  0.6998  0.4668  0.3900  0.9983  0.5000  1.0000    
1.0000  0.8340  0.7940  0.4200  0.9998  1.0000  1.0000    
0.9255  0.6126  0.7410  0.5300  1.0000  1.0000  1.0000    
0.9137  0.6784  0.5323  0.5100  1.0000  1.0000  1.0000    
0.7020  0.7500  0.3435  0.5300  0.9982  1.0000  1.0000    
1.0000  0.7001  0.6055  1.0000  1.0000  1.0000  1.0000    
1.0000  0.6780  1.0000  1.0000  1.0000  1.0000  1.0000    
1.0000  0.8540  0.3775  1.0000  1.0000  1.0000  1.0000    
0.7020  0.7727  0.3630  0.4000  0.4974  1.0000  1.0000    
1.0000  0.6859  0.6623  0.8400  1.0000  1.0000  1.0000    
1.0000  0.7870  0.6130  0.6000  0.9748  1.0000  1.0000    
1.0000  0.7316  0.7050  0.6400  0.9724  1.0000  1.0000    
0.8118  0.5618  0.7880  0.5700  0.9870  0.7500  1.0000    
0.9098  0.6295  0.5915  0.4900  0.9949  1.0000  1.0000    
0.9922  0.7545  0.6635  0.8300  0.9988  1.0000  1.0000    
1.0000  0.7035  0.5643  0.4900  0.9998  1.0000  1.0000    
1.0000  0.0001  0.4240  0.5500  0.3978  0.0000  1.0000    
1.0000  0.9655  0.7280  0.2300  1.0000  1.0000  1.0000    
1.0000  0.8188  0.4103  0.5300  0.3978  1.0000  1.0000    
1.0000  0.0000  0.7360  0.9900  1.0000  1.0000  1.0000    
1.0000  0.5967  0.7292  0.9600  1.0000  1.0000  1.0000    
1.0000  0.8175  0.3290  0.9400  1.0000  1.0000  1.0000    
0.8235  0.7379  0.4607  0.4700  0.9953  1.0000  1.0000    
1.0000  0.4958  0.9427  1.0000  1.0000  1.0000  1.0000    
0.8706  0.5785  0.7420  0.8300  1.0000  1.0000  1.0000    
1.0000  0.6988  0.9190  0.4700  1.0000  1.0000  1.0000    
